ID,AGE,HOMEKIDS,INCOME_0,HOME_VAL_0,TRAVTIME,BLUEBOOK_0,TIF,CLM_FREQ,MVR_PTS,CLM_AMT_0,CAR_AGE,CLAIM_FLAG,CLAIM_FLAG_CAT,BIRTH,PARENT1,MSTATUS,GENDER,EDUCATION,OCCUPATION,CAR_USE,CAR_TYPE,RED_CAR,REVOKED,URBANICITY
63581743,60.0,0,67349.0,0.0,14,14230.0,11,2,3,0.0,18.0,0,NO_CLAIM,16-Mar-39,false,No,M,PhD,Professional,Private,Minivan,true,false,Highly Urban/ Urban
132761049,43.0,0,91449.0,257252.0,22,14940.0,1,0,0,0.0,1.0,0,NO_CLAIM,21-Jan-56,false,No,M,High School,Blue Collar,Commercial,Minivan,true,false,Highly Urban/ Urban
921317019,48.0,0,52881.0,0.0,26,21970.0,1,0,2,0.0,10.0,0,NO_CLAIM,18-Nov-51,false,No,M,Bachelors,Manager,Private,Van,true,false,Highly Urban/ Urban
727598473,35.0,1,16039.0,124191.0,5,4010.0,4,2,3,0.0,10.0,0,NO_CLAIM,5-Mar-64,false,Yes,F,High School,Clerical,Private,SUV,false,false,Highly Urban/ Urban
450221861,51.0,0,,306251.0,32,15440.0,7,0,0,0.0,6.0,0,NO_CLAIM,5-Jun-48,false,Yes,M,High School,Blue Collar,Private,Minivan,true,false,Highly Urban/ Urban
743146596,50.0,0,114986.0,243925.0,36,18000.0,1,2,3,0.0,17.0,0,NO_CLAIM,17-May-49,false,Yes,F,PhD,Doctor,Private,SUV,false,true,Highly Urban/ Urban
871024631,34.0,1,125301.0,0.0,46,17430.0,1,0,0,2946.0,7.0,1,CLAIM,5-May-65,true,No,F,Bachelors,Blue Collar,Commercial,Sports Car,false,false,Highly Urban/ Urban
792300541,54.0,0,18755.0,,33,8780.0,1,0,0,0.0,1.0,0,NO_CLAIM,28-Feb-45,false,Yes,F,High School,Blue Collar,Private,SUV,false,false,Highly Urban/ Urban
7945239,40.0,1,50815.0,0.0,21,18930.0,6,1,2,6477.0,1.0,1,CLAIM,17-Sep-59,true,No,M,High School,Manager,Private,Minivan,false,false,Highly Urban/ Urban
3577610,44.0,2,43486.0,0.0,30,5900.0,10,0,0,0.0,10.0,0,NO_CLAIM,21-Aug-55,true,No,F,High School,Blue Collar,Commercial,SUV,false,false,Highly Rural/ Rural
892208080,37.0,2,107961.0,333680.0,44,16970.0,1,1,10,4021.0,7.0,1,CLAIM,14-Dec-61,false,Yes,M,Bachelors,Blue Collar,Commercial,Van,true,true,Highly Urban/ Urban
892208080,37.0,2,107961.0,333680.0,44,24850.0,1,0,0,13810.0,7.0,1,CLAIM,14-Dec-61,false,Yes,M,Bachelors,Blue Collar,Commercial,Van,true,true,Highly Urban/ Urban
77382913,34.0,0,62978.0,0.0,34,11200.0,1,0,0,2501.0,1.0,1,CLAIM,22-Nov-64,false,No,F,Bachelors,Clerical,Private,SUV,false,false,Highly Urban/ Urban
856886560,50.0,0,106952.0,0.0,48,18510.0,7,0,1,0.0,17.0,0,NO_CLAIM,22-Oct-49,false,No,M,Bachelors,Professional,Commercial,Van,false,false,Highly Rural/ Rural
308455362,53.0,0,77100.0,0.0,15,18300.0,1,0,0,6077.0,11.0,1,CLAIM,25-Dec-45,false,No,F,Masters,Lawyer,Private,Sports Car,false,false,Highly Urban/ Urban
989828809,43.0,0,52642.0,209970.0,36,22420.0,7,0,0,0.0,1.0,0,NO_CLAIM,19-Jun-56,false,Yes,F,Masters,Professional,Private,Minivan,false,false,Highly Rural/ Rural
989828809,46.0,0,40264.0,116913.0,5,17940.0,6,0,0,0.0,10.0,0,NO_CLAIM,19-Jun-56,false,Yes,F,Masters,Professional,Private,Minivan,false,false,Highly Rural/ Rural
376482434,55.0,0,59162.0,180232.0,25,17600.0,7,2,3,0.0,9.0,0,NO_CLAIM,3-Mar-44,false,Yes,M,Bachelors,Manager,Commercial,Van,true,true,Highly Urban/ Urban
665591504,53.0,0,130795.0,0.0,64,28340.0,6,0,3,1267.0,10.0,1,CLAIM,19-Jul-46,false,No,M,PhD,,Commercial,Panel Truck,true,false,Highly Urban/ Urban
665591504,54.0,0,63442.0,167921.0,33,23220.0,10,0,0,0.0,16.0,0,NO_CLAIM,19-Jul-46,false,No,M,PhD,,Commercial,Panel Truck,true,false,Highly Urban/ Urban
713692930,35.0,2,21204.0,0.0,74,9230.0,6,0,0,0.0,4.0,0,NO_CLAIM,17-Aug-64,true,No,M,High School,Clerical,Private,Pickup,false,true,Highly Rural/ Rural
713692930,36.0,2,19934.0,,17,10790.0,6,2,9,0.0,1.0,0,NO_CLAIM,17-Aug-64,true,No,M,High School,Clerical,Private,Pickup,false,true,Highly Rural/ Rural
713692930,38.0,2,29674.0,0.0,21,8250.0,7,3,4,0.0,,0,NO_CLAIM,17-Aug-64,true,No,M,High School,Clerical,Private,Pickup,false,true,Highly Rural/ Rural
588888550,45.0,0,0.0,106859.0,48,6000.0,1,0,3,2920.0,5.0,1,CLAIM,17-Jan-54,false,Yes,F,High School,Home Maker,Private,SUV,false,false,Highly Urban/ Urban
140015922,39.0,3,51884.0,180951.0,43,10590.0,6,0,0,0.0,13.0,0,NO_CLAIM,6-Aug-60,true,No,F,Bachelors,Clerical,Private,SUV,false,false,Highly Rural/ Rural
162166370,59.0,0,87460.0,0.0,45,15420.0,1,2,4,4111.0,1.0,1,CLAIM,19-Apr-40,false,No,M,High School,Manager,Private,Minivan,true,false,Highly Urban/ Urban
162166370,60.0,0,79245.0,0.0,36,24170.0,1,0,0,0.0,8.0,0,NO_CLAIM,19-Apr-40,false,No,M,High School,Manager,Private,Minivan,true,false,Highly Urban/ Urban
884513944,42.0,0,59945.0,192207.0,42,14190.0,6,0,0,0.0,16.0,0,NO_CLAIM,20-Dec-56,false,Yes,M,Masters,Lawyer,Private,Minivan,false,false,Highly Urban/ Urban
627708979,34.0,3,34019.0,91875.0,27,8300.0,7,0,0,0.0,20.0,0,NO_CLAIM,14-Sep-65,false,Yes,F,Masters,Lawyer,Private,SUV,false,false,Highly Urban/ Urban
116375554,31.0,2,18903.0,93797.0,48,17330.0,4,0,0,0.0,7.0,0,NO_CLAIM,6-Oct-68,false,Yes,F,High School,Clerical,Private,Minivan,false,false,Highly Urban/ Urban
116375554,31.0,2,18903.0,93797.0,48,18060.0,1,0,4,0.0,7.0,0,NO_CLAIM,6-Oct-68,false,Yes,F,High School,Clerical,Private,Minivan,false,false,Highly Urban/ Urban
235358484,28.0,1,44077.0,170598.0,29,8710.0,6,2,0,6857.0,1.0,1,CLAIM,22-Feb-71,false,Yes,F,High School,Blue Collar,Commercial,SUV,false,false,Highly Urban/ Urban
528040687,43.0,0,37214.0,,52,26560.0,1,0,3,3627.0,1.0,1,CLAIM,7-Feb-56,false,Yes,M,High School,Blue Collar,Commercial,Panel Truck,true,false,Highly Urban/ Urban
652572577,48.0,0,96274.0,282904.0,36,11130.0,6,1,5,0.0,14.0,0,NO_CLAIM,16-Dec-50,false,Yes,F,Masters,Lawyer,Private,SUV,false,false,Highly Urban/ Urban
410873772,47.0,0,46281.0,0.0,29,19700.0,10,0,1,0.0,5.0,0,NO_CLAIM,24-Jul-52,false,No,F,High School,Blue Collar,Private,Minivan,false,false,Highly Urban/ Urban
254362485,44.0,2,0.0,82344.0,8,5900.0,6,3,0,0.0,11.0,0,NO_CLAIM,6-Jul-55,false,Yes,F,High School,Home Maker,Private,SUV,false,false,Highly Urban/ Urban
69165559,46.0,0,,207519.0,7,25660.0,1,1,2,0.0,12.0,0,NO_CLAIM,14-Apr-53,false,Yes,M,Bachelors,Professional,Commercial,Panel Truck,false,false,Highly Urban/ Urban
201327208,60.0,0,37940.0,182739.0,16,11290.0,1,0,0,5247.0,1.0,1,CLAIM,14-Dec-38,false,Yes,F,High School,Blue Collar,Commercial,Sports Car,false,false,Highly Urban/ Urban
201327208,60.0,0,37940.0,182739.0,16,21280.0,1,0,0,0.0,1.0,0,NO_CLAIM,14-Dec-38,false,Yes,F,High School,Blue Collar,Commercial,Sports Car,false,false,Highly Urban/ Urban
573751437,33.0,1,79606.0,225962.0,27,16830.0,9,0,2,0.0,15.0,0,NO_CLAIM,14-Dec-65,false,Yes,F,Bachelors,Professional,Private,SUV,false,false,Highly Rural/ Rural
573751437,35.0,0,64890.0,0.0,27,12760.0,1,0,0,0.0,12.0,0,NO_CLAIM,14-Dec-65,false,Yes,F,Bachelors,Professional,Private,SUV,false,false,Highly Rural/ Rural
